gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
GNAI3,3452,4102,700,1873,4017,2402,4836,5603,1350,1168,1675,2213,3865,2938,4058,4937
CDC45,795,860,114,213,592,406,526,645,100,76,106,113,294.39,207,149,123
SCML2,148,198,65,100,290,214,363,541,143,75,89,99,141,167,83,95
APOH,2,0,1,0,108,7,2,0,3,3,4,2,5,6,3,1
NARF,1305,1770,291,839,2322,2147,1986,1937,1117,951,1464,1007,1441,1239,1085,1297
CAV2,31,44,15,57,485,353,1435,1655,588,558,516,665,1854,1575,2087,2555
KLF6,911,1108,208,771,1946,1652,2538,2360,1607,1413,2050,2294,2826,2392,4078,4808
SCMH1,201,463,68,251,465,496,931,1079,279,205,197,262,1078,843,732,941
COX5A,743,710,133,333,1661,2131,3131.91,2183.98,1512,1856,2336,2194,6586.91,3944.95,3592.93,5705.91
TBX2,445,713,155,178,717,322,436,558,122,87,139,194,441,421,408,501
TBX4,12,39,39,31,473,99,143,290,62,40,56,46,123,213,127,166
ZFY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGFR,293,656,134,337,532,279,1645,1381,211,170,366,343,558,426,316,513
WNT3,117,184,44,51,23,25,17,11,1,2,0,7,9,7,5,9
WNT9A,76,81,23,81,135,135,427,414,211,127,202,287,710,588,415,622
FER,413,633,92,297,648,554,701,695,357,324,459,525,618,459,658,563
XPO6,1811.11,2802.59,454,1052.5,1727.04,1067,2533.1,2691,871.15,715.13,775.77,978.04,3015.5,2499.97,1542.33,1908.87
TFE3,311,420,70,177,495,377,846,873,252,204,268,332,937,698,763,1019
AXIN2,1178,1693,263,529,481,367,641,739,295,200,383,361,570,562,370,415
BRAT1,300,426,97,150,510,357,567,601,248,149,307,248,485,392,328,373
GNA12,1510,1918.45,316,811.99,2898.79,2034,2527.31,2730,822.8,809,1206.93,1237.6,2289.71,1689.91,1034.78,1370.55
SLC22A18,2,7,5,2,27,30,58,58,35,28,16,39,138,77,256,390
ITGB2,6,9,1,9,109,91,80,36,31,24,62,76,169,113,236,303
IGSF5,0,2.49,0,1,22,5,28,32,17,13.56,4,9,91.58,89,48,75
PIH1D2,33,44,4,30,22,14,131,261,75,41,6,35,178,130,48,94.29
DLAT,774,941,172,364,1786,1682,2832,1976,2007,2209,3822,3438,5694,4623,3514,4432
SDHD,1502,1353,268,718,3238,3324,4512,3728,2828,3361,4500,4058,7729,5393,3727,5185
FGF23,0,0,0,4,0,1,1,1,1,0,0,0,1,0,0,1
FGF6,0,0,4,26,16,12,505,430,136,86,184,197,288,228,69,71
CCND2,5608.55,7777.18,1034,2608.85,4984,3615.54,8686.98,10405,2630.61,1634.51,1718,2302,5934.51,4642.92,6200,5546.73
GPR107,793,1110,253,563.75,1983,1404,2470,2304.06,830.53,684,889,1093,2188.5,1736.58,1452.75,1656.32
NALCN,86,82,9,113,236,132,132,102,42,67,15,17,17,17,15,19
BTBD17,209,199,2,37,5,4,44,33,8,7,17,6,35,26,8,7
SLFN12,0,0,0,7,6,0,9,7,4,0,2,3,36.33,15,82,97
TH,58,51,0,19,31,22,247,13,16,113,6,9,14,12,0,1
INS,0,0,0,2,3,1,0,0,0,1,0,0,2,0,0,1
SCNN1G,6,10,0,5,35,6,44,47,26,18,32,10,100,62,248,319
DRP2,142,178,59,184,86,44,531,422,175,101,179,215,677,533,582,633
TSPAN32,44,36,1,25,81,55,31.23,41,16,14,12,12,33,33.57,40,47
LHX2,769,217,0,80,33,11,19,18,3,1,8,15,11,13,4,5
CLEC2D,22,26,21,61.03,214,104,426,288.99,364,415,169,188,819,468.87,1094.98,1398
GMPR,126.69,135,29,41,662.26,824.13,1059.85,617,820.4,567.34,1582,1403.79,2582.65,1444.86,1071.63,1362
GLRA1,20,175,0,21,0,0,0,0,0,0,0,0,0,0,0,0
MID2,123,252,53,156,606,551,962,930,499,371,461,646,906,894,1116,1248
TRIM25,67,87,44,96,451,415,1333,1112,344,262,316,530,1664,1460,2015,2495
DGKE,163,323,42,173,300,230,298,328,98,123,113,147,406,451,280,372
SCPEP1,690,916,168,355,1552,947,2010,2439,643,501,889,1049,1980,1493,1269,1760
MNT,167,367,50,132,225,193,605,732,129,105,168,193,616,522,547,662
HDDC2,397,365,106,169,361,252,225,399,119,134,158,203,518,353,187,240
TPD52L1,58,41,23,36,61,53,210,277,89,95,133,141,341,261,325,442
PEMT,22,16,5,19,60,82,90,55,70,54,88,77,116,75,31,44
CDH1,222,484,97,202,677,223,2948,2883,1153,984,667,1650,4370,3120,7163,10005
CDH4,290,305,107,374,290,106,552,535,180,117,143,242,462,462,31,35
CKMT1A,24,58,15,65,44,23,425,383,283,300,424,549,1554,658,2268,3604
BCL6B,77,110,38,65,297,197,570,459,136,118,183,136,546,391,174,240
CLEC10A,11,11,1,19,36,28,215.98,87,161,128,163,158,356,316,315,593
ALOX12,14,30,5,23,105,174,361,303,129,93,138,184,671,304,579,854
COMT,294.51,307.24,68,189.95,1059.2,869.64,1197.53,1209.47,501.47,480,590.13,680.81,1865.92,1221.79,1043.83,1522.95
RTCA,624,629,94,276,522,385,682,744,210,202,253,274,906,534,322,467
DBT,280,395,94,171,627,460,732,724,386,510,437,366,499,456,932,976
DAZAP2,1328,1375,190,637,1823,1592,2877,3569.88,859,715,949,1466,4866,3603,3588,5979
MCTS1,169,227,46,145,230,191,538,625,158,179,177,224,757,540,428,551
REM1,0,1,0,7,71,82,122,129,47,24,23,43,162,129,66,98
RNF17,38,57,7,24,77,68,31,33,7,12,6,20,6,9,5,2
TRAPPC10,794,1167,198,551,1469,1039,1630,1436,950,738,1213,1194,2127,1917,1700,2031
CCM2,561,545,123,249,690,523,1130,1009,328,246,418,411,875,632,318,432
TBRG4,479,545,80,136.12,457,361,982.5,840.59,311.01,275,472,490,1401.89,978.32,720.25,873.75
TMPRSS2,4,8,3,23,110,44,307,254,223,166,93,151,800,561,895,1392
MX1,4,13,2,6,10,17,31,35,26,22,4,12,85,92,177,299
FAP,108,100,67,102,518,207,1703,1352,643,498,992,978,1677,1453,593,676
GCG,1,0,0,0,0,0,1,1,0,0,0,0,4,3,0,1
NDUFA9,1265,1291,218,591,2708,2626,2150,1829,1710,1959,3016,2879,5885,3551,3833,5199
EGFL6,43,94,173,384,802,595,1389,1688,260,200,394,399,556,502,338,423
LCK,86,66,11,42,207,63,32,58,12,16,15,12,55,50,12,8
TSSK3,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
CTTNBP2,142.53,401.25,60,253.47,199.84,169,384.88,558,151.31,116.57,93.4,127,317.81,269,244.97,312.91
GALNT1,1949,2489,447,1085,4342,2991,4375,5179,1446,1159,1916,2209,4073,3328,1996.01,2257.09
MYF5,20,36,25,33,19,15,361,307,192,118,219,262,160,134,34,51
MKRN2,482.12,815.47,176.64,400.01,810.82,590.18,1204.73,1099.23,640.17,550.09,830.51,773.61,1719.86,1421.9,1018.9,1375.39
PPARG,2,2,1,6,33,20,107,105,120,438,95,130,131,129,158,200
RAF1,2305.85,2893.46,520.35,1158.99,2522.87,2125.71,3482.84,3675.58,1613.56,1244.78,2150.29,1863.91,4507.48,3474.66,2793.4,3690.11
SEPTIN1,72,94,11,36,168,112,89,105,31,30,25,16,98,65,65,91
PDGFB,85,86,32,36,190,59,501,328,226,158,329,328,695,569,350,447
ACVRL1,170,203,62,124,564,208,914,894,460,333,687,570,1017,811,608,780
TAMALIN,100,146,32,60,145,97,282,258,83,64,85,80,306,228,160,303
ACVR1B,567,995,132,445,886,644,1288,1220,512,417,483,491,1104,1004,1718,1989
TOM1L2,301,551.55,124,411,1130,939,1616.65,1630.83,717,538,719,835,2355,1874.56,2391.12,2665
GPA33,0,1,0,3,1,1,1,2,0,0,9,0,8,3,35,73
ZNF385A,173,197,24,67,137,110,588,579,161,92,139,149,1093,819,1293,1718
ITGA5,355,558,223,435,1445,1105,4003,3175,898,567,1545,1700,3572,2837,695,794
GABRA2,43,39,6,91.43,27,38,33.01,20.27,5,20.97,28,14,16.41,14.41,6.9,2.69
WDR77,1585.71,1925.91,289.09,591.39,1644.54,1013.47,2175.46,2082.53,537.1,414.44,630.38,711.26,1897.5,1495.19,1150.99,1380.11
ADORA3,1,1,0,9,10,1.66,36,7,10,3,13,9.1,12,15,7,7
ATP5PB,2974,2811,552,1438,5104,5322,7900.44,6632.61,4617,4422,7413,7046,15311.49,9906.68,8326.3,11026.68
SOX9,578,870,99,522,360,169,1440,2822,504,213,244,233,1068,856,1104,993
HNRNPD,1239.96,2051.97,246,827,802,527,4108.7,4750.77,417,324,298.98,454.98,3313.88,2649.98,1692.93,2072.92
DYNLT1,2144.56,2546.94,360.79,1202.51,2196.17,2058.75,2469.14,2448.67,880.91,729.05,736.99,854.04,2038.41,1402.91,1182.93,1808.6
C1D,610,673,132,374,717,574,904,1358,406,343,402,453,1709,1084,805,1036
GM2A,105,134,37,121,921,891,723,795,335,251,456,706,1025,761,1211,1589
KRIT1,1146.2,1898.19,279.78,1110.76,980.18,741.52,1189.83,1503.06,774.03,655.16,558.46,666.49,1367.17,1449.25,1545.13,1578.24
CLCN4,862.12,1180.36,197,769.12,1702.23,1308.62,1481.04,1514.23,828.5,648.34,1040.21,1141.85,1865.78,1551.03,1935.27,2208.82
GRM6,0,2,0,12,0,0,2,2,0,1,0,0,1,0,0,0
SEMA4F,38,58,14,57,52,20,75,85,16,23,9,11,54,36,40,43
HK2,746,990,170,260,632,462,1483,858,1277,1283,2495,2374,3090,2328,4671,4372
MYO18A,911,1514,248,639,2713,2778,4377,2658,2049,1673,3779,2999,5602.28,4462.99,4830,4611
SEZ6,53,106,0,136,21,14,9,7,2,11,1,3,9,10,13,7
HAAO,0,3,1,5,10,1,2,2,2,4,0,1,6,4,3,13
CD52,1,5,0,4,37,13,17,12,12,11,4,13,41,23,59,77.02
ABHD15,32,25.32,0,15,29,7.88,15.62,15,12,51.86,18.46,22,24.36,13.31,19,24
HOXB6,0,3,0,46,21,9,6,13,3,3,0,0,9,9,11,23
LOXL3,179.18,287.5,88.56,210.36,722.3,431.09,1782.99,2746.13,844.52,365.38,896.12,754.62,2658.53,2503.85,547.23,533.23
TCL1B,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
BTN1A1,7,3,2,28,29,20,4,0,0,12,0,1,4,7,5,14
KAT2B,230,323,45,151,919,857,835,833,640,601,758,924,1231,1254,1823,2305
RAB5B,1041,1300,278,851.97,2045,1633,3437,3285,1243,1015.15,1577,1663,3328,2929,2981,3781.63
CRYBA1,5,9,0,108,2,0,0,1,2,0,1,2,0,1,0,1
DNMT3L,0,3,0,2,6,1,0,0,1,0,0,0,3,3,5,9
AIRE,1,2,0,13,0,0,7,1,1,3,1,0,6,2,0,5
